C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,G,Filip Gustavsson (11671069),Filip Gustavsson,11671069,G,6500,OTT@MIN 11/21/2018 08:00PM ET,OTT,0
,,,,,,,,,,G,Andrew Hammond (11671072),Andrew Hammond,11671072,G,6500,OTT@MIN 11/21/2018 08:00PM ET,MIN,0
,,,,,,,,,,G,Adin Hill (11671042),Adin Hill,11671042,G,6500,VGK@ARI 11/21/2018 09:00PM ET,ARI,0
,,,,,,,,,,G,Oscar Dansk (11671049),Oscar Dansk,11671049,G,6500,VGK@ARI 11/21/2018 09:00PM ET,VGK,0
,,,,,,,,,,G,Maxime Lagace (11671050),Maxime Lagace,11671050,G,6500,VGK@ARI 11/21/2018 09:00PM ET,VGK,0
,,,,,,,,,,G,Zach Fucale (11671051),Zach Fucale,11671051,G,6500,VGK@ARI 11/21/2018 09:00PM ET,VGK,0
,,,,,,,,,,C,Elias Pettersson (11669221),Elias Pettersson,11669221,C/UTIL,6500,VAN@ANH 11/21/2018 10:00PM ET,VAN,4.56
,,,,,,,,,,G,Thatcher Demko (11671039),Thatcher Demko,11671039,G,6500,VAN@ANH 11/21/2018 10:00PM ET,VAN,0
,,,,,,,,,,G,Kevin Boyle (11671045),Kevin Boyle,11671045,G,6500,VAN@ANH 11/21/2018 10:00PM ET,ANH,0
,,,,,,,,,,G,Jared Coreau (11671046),Jared Coreau,11671046,G,6500,VAN@ANH 11/21/2018 10:00PM ET,ANH,0
,,,,,,,,,,G,Jon Gillies (11671047),Jon Gillies,11671047,G,6500,WPG@CGY 11/21/2018 10:00PM ET,CGY,0
,,,,,,,,,,G,Eric Comrie (11671056),Eric Comrie,11671056,G,6500,WPG@CGY 11/21/2018 10:00PM ET,WPG,0
,,,,,,,,,,G,Mikhail Berdin (11671057),Mikhail Berdin,11671057,G,6500,WPG@CGY 11/21/2018 10:00PM ET,WPG,0
,,,,,,,,,,G,Spencer Martin (11671031),Spencer Martin,11671031,G,6500,COL@LA 11/21/2018 10:30PM ET,COL,0
,,,,,,,,,,LW,Claude Giroux (11669665),Claude Giroux,11669665,W/UTIL,6400,PHI@BUF 11/21/2018 07:30PM ET,PHI,4.3
,,,,,,,,,,D,Keith Yandle (11670373),Keith Yandle,11670373,D/UTIL,6400,FLA@TB 11/21/2018 07:30PM ET,FLA,3.92
,,,,,,,,,,C,Mikko Koivu (11669223),Mikko Koivu,11669223,C/UTIL,6400,OTT@MIN 11/21/2018 08:00PM ET,MIN,3.22
,,,,,,,,,,LW,Jason Zucker (11669667),Jason Zucker,11669667,W/UTIL,6400,OTT@MIN 11/21/2018 08:00PM ET,MIN,3.33
,,,,,,,,,,LW,Jonathan Drouin (11669673),Jonathan Drouin,11669673,W/UTIL,6300,MON@NJ 11/21/2018 07:00PM ET,MON,3.51
,,,,,,,,,,LW,Chris Kreider (11669671),Chris Kreider,11669671,W/UTIL,6300,NYI@NYR 11/21/2018 07:00PM ET,NYR,3.79
,,,,,,,,,,C,Eric Staal (11669225),Eric Staal,11669225,C/UTIL,6300,OTT@MIN 11/21/2018 08:00PM ET,MIN,3.4
,,,,,,,,,,LW,Zach Parise (11669669),Zach Parise,11669669,W/UTIL,6300,OTT@MIN 11/21/2018 08:00PM ET,MIN,4.38
,,,,,,,,,,D,Mark Giordano (11670375),Mark Giordano,11670375,D/UTIL,6300,WPG@CGY 11/21/2018 10:00PM ET,CGY,4.43
,,,,,,,,,,LW,Tomas Tatar (11669675),Tomas Tatar,11669675,W/UTIL,6200,MON@NJ 11/21/2018 07:00PM ET,MON,3.62
,,,,,,,,,,LW,Brad Marchand (11669677),Brad Marchand,11669677,W/UTIL,6200,BOS@DET 11/21/2018 07:30PM ET,BOS,3.68
,,,,,,,,,,C,Ryan O'Reilly (11669227),Ryan O'Reilly,11669227,C/UTIL,6200,STL@NSH 11/21/2018 08:00PM ET,STL,4.71
,,,,,,,,,,D,Dustin Byfuglien (11670377),Dustin Byfuglien,11670377,D/UTIL,6200,WPG@CGY 11/21/2018 10:00PM ET,WPG,3.79
,,,,,,,,,,C,Sean Couturier (11669231),Sean Couturier,11669231,C/UTIL,6100,PHI@BUF 11/21/2018 07:30PM ET,PHI,3.42
,,,,,,,,,,D,Shayne Gostisbehere (11670379),Shayne Gostisbehere,11670379,D/UTIL,6100,PHI@BUF 11/21/2018 07:30PM ET,PHI,3.38
,,,,,,,,,,RW,Andreas Athanasiou (11669681),Andreas Athanasiou,11669681,W/UTIL,6100,BOS@DET 11/21/2018 07:30PM ET,DET,3.97
,,,,,,,,,,LW,Jonathan Huberdeau (11669685),Jonathan Huberdeau,11669685,W/UTIL,6100,FLA@TB 11/21/2018 07:30PM ET,FLA,3.59
,,,,,,,,,,C,Matt Duchene (11669229),Matt Duchene,11669229,C/UTIL,6100,OTT@MIN 11/21/2018 08:00PM ET,OTT,4.57
,,,,,,,,,,RW,Alex Tuch (11669679),Alex Tuch,11669679,W/UTIL,6100,VGK@ARI 11/21/2018 09:00PM ET,VGK,3.89
,,,,,,,,,,LW,Kyle Connor (11669683),Kyle Connor,11669683,W/UTIL,6100,WPG@CGY 11/21/2018 10:00PM ET,WPG,4.17
,,,,,,,,,,RW,Josh Bailey (11669691),Josh Bailey,11669691,W/UTIL,6000,NYI@NYR 11/21/2018 07:00PM ET,NYI,3.40
,,,,,,,,,,LW,Anders Lee (11669693),Anders Lee,11669693,W/UTIL,6000,NYI@NYR 11/21/2018 07:00PM ET,NYI,3.63
,,,,,,,,,,RW,T.J. Oshie (11669689),T.J. Oshie,11669689,W/UTIL,6000,CHI@WAS 11/21/2018 07:00PM ET,WAS,3.65
,,,,,,,,,,D,Matt Dumba (11670381),Matt Dumba,11670381,D/UTIL,6000,OTT@MIN 11/21/2018 08:00PM ET,MIN,3.93
,,,,,,,,,,LW,Jonathan Marchessault (11669687),Jonathan Marchessault,11669687,W/UTIL,6000,VGK@ARI 11/21/2018 09:00PM ET,VGK,4.34
,,,,,,,,,,C,Ryan Getzlaf (11669235),Ryan Getzlaf,11669235,C/UTIL,6000,VAN@ANH 11/21/2018 10:00PM ET,ANH,3.84
